Rank,Current/Most Recent Study,Status,Study Results,Interventions,Outcome Measures,Age,Phases,Enrollment,Study Type,Study Designs,Completion Date,Locations,URL,Other Locations,Latitude,Longitude,Hospital Name,Temp Locations 2,Principal Investigator,County,ICU Beds in the County,Composite Score,Total Successful Trials,State,ICU Beds true,Normalized Composite Scores
244,Poly-ICLC to Prevent Respiratory Viral Infections A Safety Study,Completed,No Results Available,Drug: Poly-ICLC,"Frequency of AE greater than or equal to grade 2 by subjects who receive drug|Intranasal cytokines, nasal NO production, inflammatory cells in nasal wash","18 Years to 70 Years   (Adult, Older Adult)",Phase 1,57,Interventional,Allocation: Randomized|Intervention Model: Single Group Assignment|Primary Purpose: Treatment,16-Dec-09,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT00646152,,39.0019296,-77.1044561,"National Institutes of Health Clinical Center, 9000 Rockville Pike",National Institutes of Health Clinical Center,"Richard T Davey, M.D.",Montgomery,22,0.337506251,3,Maryland,150,54.42262855
245,Mesenchymal Stromal Cells For Acute Respiratory Distress Syndrome,"Active, not recruiting",No Results Available,Biological: Human Mesenchymal Stromal Cells|Biological: Cell Reconstitution Media,Change in oxygenation index (OI)|Acute Lung Injury Score (LIS)|Pulmonary Dead Space Fraction|Chest radiograph assessment of pulmonary edema (RALE score)|Ventilator free-days|Duration of assisted ventilation over 28 days|Percentage of patients achieving pressure support ventilation for 2 hours|Occurrence of Infection|Sequential Organ Failure Assessment (SOFA) over 7 days|All-cause hospital mortality|Glasgow Outcome Score (GCS)|Percentage of patients occurred any thromboembolic events|Plasma angiopoietin-2|Plasma Receptor for Advanced Glycation Endproducts (RAGE)|Plasma interleukin-6|Plasma interleukin-8|Plasma Soluble tumor necrosis factor 1 (sTNF-1)|Plasma protein C|Plasma lipoxin A4|Plasma Resolvin D1|Plasma angiopoietin-1|Plasma keratinocyte growth factor (KGF)|Urine microalbumin|Total protein in min-bronchoalveolar lavage (mBAL)|Tolerability of the hMSCs - incidence of pre-specified infusion-associated events and unexpected severe adverse events,"18 Years and older   (Adult, Older Adult)",Phase 2,120,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",1-Jul-24,"University of California Davis Medical Center, Sacramento, California, United States",https://ClinicalTrials.gov/show/NCT03818854,,38.5526924,-121.45179,"University of California Davis Medical Center, Sacramento",University of California Davis Medical Center,"Michael Matthay, MD",Sacramento,396,0.187571687,1,California,396,8.070453038
246,Sleep Intervention During Acute Lung Injury,Completed,No Results Available,Drug: Dexmedetomidine|Drug: Midazolam and Fentanyl,Specific Aim 1: To assess the short-term effect of an α2 adrenergic agent on sleep quality in critically ill patients with ALI/ARDS.|Specific Aim 2: To assess the short-term effect of an α2 adrenergic agent on sleep-modulating inflammatory cytokines in critically ill patients with ALI/ARDS.|Specific aim 3: To determine the effect of α2 adrenergic agent on the in-vitro production of sleep-modulating inflammatory cytokines by peripheral blood mononuclear cells of patients with ALI/ARDS.,"18 Years to 85 Years   (Adult, Older Adult)",Phase 4,90,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",19-Jan,"Southern Arizona VA Health Care System, Tucson, Arizona, United States",https://ClinicalTrials.gov/show/NCT01050699,,32.18144915,-110.9647969,"Southern Arizona VA Health Care System, Tucson",Southern Arizona VA Health Care System,"Sairam Parthasarathy, MD",Pima,296,0.186115489,1,Arizona,296,7.620270349
247,Study of Immunomodulation Using Naltrexone and Ketamine for COVID-19,Terminated,Has Results,Drug: Naltrexone|Drug: Ketamine|Other: Placebo,Progression of Oxygenation Needs|Renal Failure|Liver Failure|Cytokine Storm|COVID Mortality|Length of Hospital Stay|Intensive Care Unit (ICU) Admission|Intensive Care Unit (ICU) Duration|Intubation|Intubation Duration|Time Until Recovery,"18 Years and older   (Adult, Older Adult)",Phase 2,70,Interventional,"Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",1-Apr-21,"William Beaumont Hospital, Royal Oak, Michigan, United States",https://ClinicalTrials.gov/show/NCT04365985,,42.5150439,-83.19410268,"William Beaumont Hospital, Royal Oak",William Beaumont Hospital,"Matthew Sims, MD PhD",Oakland,409,0.349430056,0,Michigan,409,58.10886531
248,Early Versus Delayed Enteral Feeding and Omega-3 Fatty Acid/Antioxidant Supplementation for Treating People With Acute Lung Injury or Acute Respiratory Distress Syndrome (The EDEN-Omega Study),Terminated,No Results Available,Behavioral: Minimal (Trophic) Feeding|Behavioral: Full Feeding|Dietary Supplement: Omega-3 Fatty Acids and Antioxidant Supplements|Dietary Supplement: Placebo,"Number of ventilator-free days (VFD)|Mortality before hospital discharge, with unassisted breathing|Number of intensive care unit-free days|Number of organ failure-free days (liver, kidney, heart, central nervous system, and hematologic)|Incidence of ventilator-associated pneumonia|Number of days from first meeting criteria for weaning readiness to Day 28|VFDs and mortality in participants with a partial pressure of oxygen in arterial blood (PaO2)/fraction of inspired oxygen (FIO2) less than or equal to 200 or with shock at the time of study entry|Change in plasma and mini-bronchoalveolar lavage (BAL) levels of interleukin (IL)-6, IL-8, von Willebrand factor (VWF), surfactant protein D (SPD), and total protein concentrations|Health-related quality of life; healthcare utilization; and psychological, neurocognitive, and physical activity outcomes|Duration of survival after hospital discharge using the National Death Index","13 Years and older   (Child, Adult, Older Adult)",Phase 3,272,Interventional,"Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",9-Apr,"University of San Francisco-Fresno Medical Center, Fresno, California, United States",https://ClinicalTrials.gov/show/NCT00609180,,36.7377981,-119.7871247,"University of San Francisco-Fresno Medical Center, Fresno",University of San Francisco-Fresno Medical Center,"Arthur Wheeler, MD",Fresno,164,0.193083545,1,California,164,9.774440449
250,Sigh Ventilation to Increase Ventilator-Free Days in Victims of Trauma at Risk for Acute Respiratory Distress Syndrome,Completed,No Results Available,Other: Sigh breaths,"Ventilator-free days (VFDs)|All-cause mortality|ICU-free days|The occurrence of complications of treatment|Percentage of patients discharged to extended care facilities, on mechanical ventilation, or to in-patient or home hospice|Newly requiring continuous oxygen therapy at discharge","18 Years to 89 Years   (Adult, Older Adult)",Not Applicable,524,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,8-Oct-22,"UCSF Fresno Community Regional Medical Center, Fresno, California, United States",https://ClinicalTrials.gov/show/NCT02582957,,36.7435693,-119.7822114,"UCSF Fresno Community Regional Medical Center, Fresno",UCSF Fresno Community Regional Medical Center,"Richard Albert, MD",Fresno,164,0.193083545,3,California,164,9.774440449
251,Hypertonic Saline With Dextran for Treating Hypovolemic Shock and Severe Brain Injury,Completed,No Results Available,Drug: Hypertonic Saline-Dextran Solution|Drug: Lactated Ringer's Solution,Adult respiratory distress syndrome symptoms (measured 28 days post-injury)|Multiple organ failure syndrome|28 day mortality|Nosocomial infections|Duration of hospital and ICU stay|Duration of mechanical ventilation|Neurologic outcome for patients with traumatic brain injury based on the Glasgow Outcome Score and Disability Rating Score (measured at 6 and 12 months post-injury),"18 Years and older   (Adult, Older Adult)",Not Applicable,209,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment,7-Mar,"University of Washington, Seattle, Washington, United States",https://ClinicalTrials.gov/show/NCT00113685,,47.6543466,-122.3080606,"University of Washington, Seattle",University of Washington,Eileen Bulger,King,450,0.211214428,2,Washington,450,15.37959145
252,Study Assessing Vagus Nerve Stimulation in CoViD-19 Respiratory Symptoms,"Active, not recruiting",No Results Available,Device: gammaCore® Sapphire (non-invasive vagus nerve stimulator)|Other: Standard of care therapies,summarize and compare the incidence of clinical events in patients randomized to use of gammaCore Sapphire plus standard of care vs standard of care alone in patients hospitalized for CoViD-19.|evaluate cytokine trends|evaluate supplemental oxygen requirements|decrease mortality of CoViD-19 patients|delay onset of ventilation|compare clinical improvement in patients randomized to use of gammaCore Sapphire plus standard of care vs standard of care alone in patients hospitalized for CoViD-19.,"18 Years and older   (Adult, Older Adult)",Not Applicable,21,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,1-Dec-23,"AHN Allegheny General Hospital, Pittsburgh, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT04382391,,40.4569171,-80.0033123,"AHN Allegheny General Hospital, Pittsburgh",AHN Allegheny General Hospital,"Tariq Cheema, MD",Allegheny,580,0.350498218,0,Pennsylvania,580,58.43908692
253,"A Double Blind, Randomized, Controlled Study to Evaluate CHF 5633 (Synthetic Surfactant) and Poractant Alfa in Neonates With Respiratory Distress Syndrome (RDS) (POC)",Completed,Has Results,Drug: CHF5633|Drug: Poractant alfa,Oxygen Requirement and Ventilatory Support -- SpO2/FiO2 Ratio|Fraction of Inspired Oxygen (FiO2) (Percent) During the First 24 h and up to Day 7|Number of Patients With Bronchopulmonary Dysplasia and Mortality,1 Hour to 24 Hours   (Child),Phase 2,123,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",24-May-18,"University of South Alabama - USA Children's and Women's Hospital, Mobile, Alabama, United States",https://ClinicalTrials.gov/show/NCT02452476,,30.6974625,-88.0778358,"University of South Alabama - USA Children's and Women's Hospital, Mobile",University of South Alabama - USA Children's and Women's Hospital,"Rangasamy Ramanathan, MD",Mobile,157,0.457822218,1,Alabama,157,91.61823355
254,A Study to Evaluate the Use of the Neotech RAM Nasal Cannula for CPAP and Bi-PAP Application in Infants 28-42 Weeks Gestation in a Neonatal Intensive Care Unit (NICU),Terminated,No Results Available,Other: RAM Nasal Cannula,NCPAP|Bi-PAP|High Flow Humidity,28 Weeks to 42 Weeks   (Child),Not Applicable,14,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,8-Jul-21,"Englewood Hospital and Medical Center, Englewood, New Jersey, United States",https://ClinicalTrials.gov/show/NCT04096235,,40.9041902,-73.9686547,"Englewood Hospital and Medical Center, Englewood",Englewood Hospital and Medical Center,,Bergen,147,,0,New Jersey,147,
255,Evaluation of the Clinical Impact of Corticosteroid Duration on SARS-CoV-2 (COVID-19 WHO),Recruiting,No Results Available,,All-cause in-hospital mortality at 28 days|Bacteremia|Mechanical ventilator-free days|ICU LOS|Hospital LOS|hospital acquired pneumonia (HAP)|ventilator-associated pneumonia (VAP)|C. diff infection (CDI),"18 Years and older   (Adult, Older Adult)",,400,Observational,Observational Model: Cohort|Time Perspective: Retrospective,19-Oct-23,"Methodist Dallas Medical Center, Dallas, Texas, United States",https://ClinicalTrials.gov/show/NCT05595031,,32.76125335,-96.82504596,"Methodist Dallas Medical Center, Dallas",Methodist Dallas Medical Center,"Kristen Rahmanzadeh, PharmD",Dallas,614,0.293183356,0,Texas,614,40.72023363
256,Oscillatory Versus Non-oscillatory Nasal Continuous Airway Pressure Neonatal Respiratory Support,Withdrawn,No Results Available,Device: Regular Nasal CPAP using a conventional ventilator|Device: High Frequency Nasal CPAP,Respiratory Index Score (RSI),up to 4 Months   (Child),Not Applicable,0,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,26-Sep,"UC Davis Health, Sacramento, California, United States",https://ClinicalTrials.gov/show/NCT03711565,,38.53655635,-121.762774,"UC Davis Health, Sacramento",UC Davis Health,,Yolo,14,0.185756482,0,California,14,7.509283562
257,A Phase 2 Study to Evaluate Axatilimab for Hospitalized Participants With Respiratory Involvement Secondary to COVID-19,Terminated,Has Results,Drug: SNDX-6352|Drug: Placebo,Count Of Participants Alive And Free Of Respiratory Failure At Day 29|Count Of Participants With Secondary Clinical Improvement Outcomes At Day 29|Time To Clinical Improvement|Change From Baseline At Day 29 In Oxygenation In Hospitalized Adults With Respiratory Signs And Symptoms Secondary To COVID-19 Treated With Axatilimab|Change From Baseline At Day 15 In Biomarkers Following Treatment With Axatilimab|Count Of Participants Experiencing Adverse Events And Serious Adverse Events|Count Of Participants Requiring Ventilation Support|Count Of Participants Considered Severe Acute Respiratory Syndrome Coronavirus (SARS-CoV-2) Free By Day 15|Pharmacokinetics: Serum Concentration Of Axatilimab And Anti-drug Antibodies,"18 Years and older   (Adult, Older Adult)",Phase 2,1,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment",13-Jul-20,"HonorHealth, Scottsdale, Arizona, United States",https://ClinicalTrials.gov/show/NCT04415073,,33.4885727,-111.9229832,"HonorHealth, Scottsdale",HonorHealth,,Maricopa,1004,0.188377743,1,Arizona,1004,8.31964474
258,Calfactant for Direct Acute Respiratory Distress Syndrome,Terminated,No Results Available,Drug: Calfactant|Drug: Room Air (placebo),Mortality Rate|Duration of mechanical ventilation,"12 Years to 85 Years   (Child, Adult, Older Adult)",Phase 3,332,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",11-Feb,"University of Florida, Gainesville, Florida, United States",https://ClinicalTrials.gov/show/NCT00682500,,29.6328784,-82.34901329,"University of Florida, Gainesville",University of Florida,"Douglas Willson, MD",Alachua,210,0.228647823,0,Florida,210,20.76911447
259,MSCs in COVID-19 ARDS,Terminated,No Results Available,Biological: Remestemcel-L|Drug: Placebo,Number of all-cause mortality|Number of days alive off mechanical ventilatory support|Number of adverse events|Number of participants alive at day 7|Number of participants alive at day 14|Number of participants alive at day 60|Number of participants alive at day 90|Number of participants alive at 12 Months|Number of participants with resolution and/or improvement of ARDS|Severity of ARDS|Length of stay|Readmissions|Length of Stay in Intensive Care Unit|Clinical Improvement Scale|Change in plasma hs-CRP concentration|Change in serum hs-CRP concentration|Change in IL-6 inflammatory marker level|Change in IL-8 inflammatory marker level|Change in TNF-alpha inflammatory marker level|Pulmonary symptoms,"18 Years and older   (Adult, Older Adult)",Phase 3,223,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",2-Jan-22,"Dignity Health, Gilbert, Arizona, United States",https://ClinicalTrials.gov/show/NCT04371393,,33.28757155,-111.7515924,"Dignity Health, Gilbert",Dignity Health,"Annetine C Gelijns, PhD",Maricopa,1004,0.188377743,0,Arizona,1004,8.31964474
260,Nebulised Heparin in Patients With Severe COVID-19,Recruiting,No Results Available,Drug: Nebulised unfractionated heparin (UFH),Alive and Ventilator Free Score,"18 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,300,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment",24-Jun,"Frederick Health Hospital, Frederick, Maryland, United States",https://ClinicalTrials.gov/show/NCT04545541,,39.4229752,-77.4149544,"Frederick Health Hospital, Frederick",Frederick Health Hospital,"Frank MP van Haren, MD, PhD",Frederick,0,0.346744248,0,Maryland,18,57.27854947
261,Pre-hospital Ventilation Clinical Study,Enrolling by invitation,No Results Available,Device: 731 Series Ventilator,Ventilator modes used|Ventilator settings used|Ventilator Alarm type|Ventilator Alarm Frequency,"Child, Adult, Older Adult",,500,Observational,Observational Model: Case-Only|Time Perspective: Prospective,30-Jun-24,"East Baton Rouge EMS, Baton Rouge, Louisiana, United States",https://ClinicalTrials.gov/show/NCT05604430,,30.3737883,-91.07608261,"East Baton Rouge EMS, Baton Rouge",East Baton Rouge EMS,"Dan Godbee, MD",East Baton Rouge Parish,,,0,Louisiana,,
263,A Phase 1/2 Study to Assess MultiStem® Therapy in Acute Respiratory Distress Syndrome,Completed,No Results Available,Biological: MultiStem|Biological: Placebo,Frequency of sustained hypoxemia or hypotension|Suspected Unexpected Serious Adverse Reactions (SUSARs)|Frequency of adverse events|Changes in vital signs|Changes in blood safety laboratories|Ventilator-free days|ICU-free days|Total length of hospital stay|All-cause mortality|Changes in levels of oxygenation|Changes in positive end-expiratory airway pressure|Changes in respiratory physiologic measures including lung compliance and airway resistance (peak and plateau pressures),"18 Years to 90 Years   (Adult, Older Adult)",Phase 1|Phase 2,36,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",19-Jul,"University Hospitals - Cleveland Medical Center, Cleveland, Ohio, United States",https://ClinicalTrials.gov/show/NCT02611609,,41.5057921,-81.6062368,"University Hospitals - Cleveland Medical Center, Cleveland",University Hospitals - Cleveland Medical Center,"Geoff Bellingan, MD",Cuyahoga,680,0.376333276,1,Ohio,680,66.42597874
264,Implementation of Nudges to Promote Utilization of Low Tidal Volume Ventilation (INPUT) Study,Recruiting,No Results Available,Behavioral: RT-targeted accountable justification|Behavioral: Default order set|Behavioral: physician-targeted accountable justification|Other: Standard of Care,fidelity to LPV|sustainability|Total duration of exposure to tidal volume >8 cc/kg and >10 cc/kg IBW|hospital mortality|ICU length of stay|hospital length of stay|hospital discharge disposition|mechanical ventilation duration|initial tidal volume administered|Duration of time exposed to plateau pressure (Pplat)>30 mmHg|total cumulative doses of sedative medications during and after mechanical ventilation|Total number of days with acute brain dysfunction during hospitalization,"18 Years to 99 Years   (Adult, Older Adult)",Not Applicable,15100,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Health Services Research,31-May-24,"Princeton Medical Center, Plainsboro, New Jersey, United States",https://ClinicalTrials.gov/show/NCT04663802,,40.339764,-74.6238206,"Princeton Medical Center, Plainsboro",Princeton Medical Center,"Meeta Kerlin, MD, MSCE",Middlesex,0,0.328731542,0,New Jersey,185,51.70993282
265,INR-Triggered Transfusion In GI Bleeders From ER,Terminated,No Results Available,Other: Transfuse plasma to High INR target|Other: Transfuse plasma to Low INR target,Mean change in PaO2/fraction of inspired oxygen (FiO2) ratio|Bleeding complication (y/n)|Transfusion-related acute lung injury|28 day and ICU Mortality|ICU and Hospital length of Stay|Change in oxygen saturation (SPO2)/FiO2 ratio (∆S/F) before and after transfusion|Ventilator-free days,"18 Years to 75 Years   (Adult, Older Adult)",Phase 3,50,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Prevention",15-Aug,"University of Colorado Hospital, Aurora, Colorado, United States",https://ClinicalTrials.gov/show/NCT01461889,,39.7425435,-104.841661,"University of Colorado Hospital, Aurora",University of Colorado Hospital,"Marc Moss, MD",Adams,0,0.223048163,0,Colorado,168,19.03798313
266,"A Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Safety and Efficacy of EB05 + SOC vs. Placebo + SOC in Adult Hospitalized Patients With COVID-19",Unknown status,No Results Available,Biological: SOC plus 15mg/kg EB05 IV|Other: SOC plus Placebo IV,"the proportion of patients that are alive without any need for oxygen support defined as a score of 3 or less on the WHO COVID-19 nine-point scale|Time to therapeutic response (primary efficacy endpoint).|The proportion of patients with clinical improvement, defined as a decrease of two points or more on the WHO 9 - point ordinal scale at Day 28|The proportion of patients that are alive and discharged home without any need for oxygen support (WHO Scale of ≤ 2) at Day 28.|The proportion of patients that are alive and free of respiratory failure (WHO scale ≤ 4) at Day 28.|The proportion of patients with clinical improvement, defined as a decrease of two points or more on the WHO 9 - point ordinal scale at Day 60.|The proportion of patients with clinical improvement, defined as a decrease of one point or more on the WHO 9 - point ordinal scale at Day 28.|The proportion of patients with clinical improvement, defined as a decrease of one point or more on the WHO 9 - point ordinal scale at Day 60.|The proportion of patients that are alive and discharged home without any need for oxygen support (WHO Scale of ≤ 2) at Day 60.|The proportion of patients that are alive and free of respiratory failure (WHO scale ≤ 4) at Day 60.|Time to clinical improvement by 2 points on the WHO ordinal scale described above.|Time to clinical improvement by 1 point on the WHO ordinal scale described above.|Change in the NEWS-2 Scale at 28 days.|Time to News-2 = 0.|The proportion of patients that experience disease progression, defined as an increase of one point or more in the WHO 9-point ordinal scale, at Day 28.|Ventilator-free days.|Duration of ventilation.|Mortality rate at 28-days and 60-days post-treatment initiation.|Duration of hospitalization.|Time to independence from supplementary oxygen therapy.|Time to normalization of oxygen saturation, defined as SaO2/SpO2 > 94% sustained a minimum of 24 hours.|Change in Sequential Organ Failure Assessment (SOFA) score, while hospitalized.|Radiological response to treatment based on Thoracic Computerized Tomography Scan (CT-Scan) or Chest X-Ray.|Change in cytokines, including IL-6, and C-reactive protein (CRP) levels.|Time to resolution of fever for at least 48 hours without antipyretics.|The decision by the attending physician to initiate treatment with another targeted immunomodulator (i.e. dexamethasone).|Change in the Berlin ARDS severity scale.|Change in Acute Kidney Injury Network (AKIN) classification.|Change in troponin levels.","18 Years and older   (Adult, Older Adult)",Phase 2,396,Interventional,"Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",21-Apr,"UCSF Fresno, Fresno, California, United States",https://ClinicalTrials.gov/show/NCT04401475,,36.7435693,-119.7822114,"UCSF Fresno, Fresno",UCSF Fresno,,Fresno,164,0.193083545,2,California,164,9.774440449
267,LSALT Peptide vs. Placebo to Prevent ARDS and Acute Kidney Injury in Patients Infected With SARS-CoV-2 (COVID-19),Completed,No Results Available,Drug: LSALT peptide|Drug: Placebo,"To evaluate the proportion of subjects alive and free of respiratory failure and free of the need for continued renal replacement therapy (RRT) on Day 28 (as per Protocol AB002 - Version 1, dated 09JUNE2020)|All-cause mortality|The presence of and severity of ARDS as an ordinal outcome of the proportion of patients who have none, mild, moderate, or severe ARDS|Time to each of mild, moderate, or severe ARDS|The number of ventilation-free days and ECMO-free days|Time on nasal cannula or oxygen mask|Length of stay in ICU and hospital (admission to discharge)|Virologic clearance rate|Worst PaO2/FiO2 ratio following enrollment|Change in PaO2/FiO2 ratio|Vasopressor-free days|Change from maximal radiographic damage to EOT|Change in baseline modified Medical Research Council (mMRC) score|Change in Acute Physiologic Assessment and Chronic Health Evaluation (APACHE) II score|Proportion of patients with extrapulmonary organ dysfunction using the daily Sequential Organ Failure Assessment (SOFA) score|Change in liver function by Alanine Aminotransferase (ALT) test|Change in liver function by Aspartate Transferase (AST) test|Change in liver function by total bilirubin test|Change in renal function by serum creatinine (SCr) test|Change in renal function by estimated Glomerular Filtration Rate (eGFR) test|Change in hs-troponin levels|Change in Activated Coagulation Time (ACT)|Change in activated Partial Thromboplastin Time (aPTT)|Change in Prothrombin Time (PT)/International Normalized Ratio (INR)|Change in antiviral IgG, IgA, and IgM levels|Total healthcare costs from admission to discharge between treatment groups|Change in serum cytokines including IL-1a, IL-1b, and ferritin levels as well as other exploratory biomarkers drawn at the same time as LSALT peptide concentrations|Change in baseline antiviral immunoglobulins (IgG, IgM, IgA) at EOS","18 Years to 80 Years   (Adult, Older Adult)",Phase 2,61,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",2-Jun-22,"VA San Diego Healthcare System, San Diego, California, United States",https://ClinicalTrials.gov/show/NCT04402957,,32.87487075,-117.2315823,"VA San Diego Healthcare System, San Diego",VA San Diego Healthcare System,,San Diego,570,0.184924401,1,California,570,7.252046248
268,Poractant Alfa - Curosurf and SARS-COV-19 ARDS (Covid-19),Terminated,No Results Available,Drug: CUROSURF® (poractant alfa),"Number of days alive and ventilator-free days|Number of days alive and free from invasive ventilation|Number of alive and free days from non-invasive ventilation (NIV)|Change from baseline in PaO2/FiO2 ratio measured at 6 hours and 12 hours following administration of each dose in the treated group and at the similar time points in the control group|Change from baseline in PaO2/FiO2 ratio at additional timepoints|Length of ICU stay (days)|Change from baseline in ventilatory parameter (Tidal volume- TV)|Delta Sequential Organ Failure Assessment (SOFA) Score and sub-component measure|Incidence of all the AEs, AEs related to poractant alfa (treated cohort) (ADRs), serious AEs (SAEs) and AEs leading to death|Change from baseline in blood gas analysis acid-base balance parameters (pH)|Percentage of patients alive and with PaO2/ FiO2 improvement of >20% following administration of each dose in the treated group and at similar timepoints in the control group|Percentage of patients alive and with PaO2/ FiO2 improvement of >20% following at the additional timepoints administration of each dose in the treated group and at similar time points in the control group|Change from baseline in FiO2|Change from baseline in ventilatory parameter (respiratory rate (RR))|Change from baseline in ventilatory parameter (dynamic compliance (Cdyn))|Change from baseline in ventilatory parameter (static compliance (Cstat))|Change from baseline in ventilatory parameter (positive end-expiratory pressure (PEEP)|Change from baseline in ventilatory parameter (peak inspiratory pressure (PIP))|Change from baseline in ventilatory parameter (plateau pressure (Pplat))|Change from baseline in blood gas analysis acid-base balance parameter (pCO2)|Change from baseline in blood gas analysis acid-base balance parameter (pO2)|Change from baseline in blood gas analysis acid-base balance parameter (HCO3)|Change from baseline in blood gas analysis acid-base balance parameter (lactate)|Mortality|Percentage of patients with improvement in severity status defined as a decrease in the severity score|Percentage of patients alive and out of ICU|Percentage of patients alive and free of organ failure|Percentage of patients alive and free of respiratory failure|Number of days alive and ventilatory-free","18 Years to 80 Years   (Adult, Older Adult)",Phase 2,22,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,18-Mar-22,"Henry Ford Health System, Detroit, Michigan, United States",https://ClinicalTrials.gov/show/NCT04502433,,42.3635796,-83.0749603,"Henry Ford Health System, Detroit",Henry Ford Health System,"Clark Howard, Prof. /MD",Wayne,0,0.372694747,0,Michigan,586,65.3011298
269,"Biomarkers, Genomics, Physiology in Critically Ill and ECMO Patients","Active, not recruiting",No Results Available,Device: Ventilator,Change in plasma IL-6 level from baseline to low driving pressure ventilation|Change in plasma sRAGE from baseline to low driving pressure ventilation,"18 Years and older   (Adult, Older Adult)",Not Applicable,80,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,1-Mar-23,"University of California San Diego Health, La Jolla, California, United States",https://ClinicalTrials.gov/show/NCT04669444,,32.85150015,-117.181876,"University of California San Diego Health, La Jolla",University of California San Diego Health,"Robert L Owens, MD",CAL Fire San Diego Unit,,,2,California,570,
270,VentaProst in Subjects With COVID-19 Requiring Mechanical Ventilation,Completed,No Results Available,Drug: VentaProst (inhaled epoprostenol delivered via a dedicated delivery system),Reduction in Respiratory Failure|Reduction in Cardiac/Circulatory Failure|Improvement in Oxygenation|Improved Clinical Outcomes,"18 Years and older   (Adult, Older Adult)",Phase 2,11,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",29-Jun-21,"Ohio State University, Columbus, Ohio, United States",https://ClinicalTrials.gov/show/NCT04452669,,40.00570905,-83.02866466,"Ohio State University, Columbus",Ohio State University,"Veronica Franco, MD",Franklin,0,0.372421808,1,Ohio,449,65.21675088
